Formula,uid,spacegroup,ehull,bandgap,band,kpath,SS,dE
ClSSb,9188c300265c,P3m1 (156),0.048,1.332,C,K,0.313,1.878
SnTe,e688959ea45b,P3m1 (156),0.119,1.592,V,K,0.228,1.08
SnTe,e688959ea45b,P3m1 (156),0.119,1.592,C,K,0.003,0.18
HfCl2,864f8b497185,P-6m2 (187),0.007,0.891,V,K,0.099,0.0
HfCl2,864f8b497185,P-6m2 (187),0.007,0.891,C,K,0.236,1.274
Cl2Pt2,93dfef2d1004,P1 (1),0.0,1.329,V,H,0.002,0.393
Cl2Pt2,93dfef2d1004,P1 (1),0.0,1.329,V,H1,0.002,0.393
MoS2,b3b4685fb6e1,P-6m2 (187),0.0,1.603,V,K,0.148,0.0
MoS2,b3b4685fb6e1,P-6m2 (187),0.0,1.603,C,K,0.003,0.0
SrCl2,77398c835c11,P-6m2 (187),0.194,4.958,V,K,0.001,0.051
SrCl2,77398c835c11,P-6m2 (187),0.194,4.958,C,K,0.009,0.312
ClIZr,73202b4b7837,P3m1 (156),0.078,0.883,V,K,0.087,0.0
ClIZr,73202b4b7837,P3m1 (156),0.078,0.883,C,K,0.021,0.716
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,V,K,0.188,1.475
GeTe,eadd37f03ca5,P3m1 (156),0.087,1.488,C,K,0.079,0.283
CaBr2,fbb623b6f288,P-6m2 (187),0.129,4.141,V,K,0.003,0.05
CaBr2,fbb623b6f288,P-6m2 (187),0.129,4.141,C,K,0.04,0.485
BrHfI,836a1091409d,P3m1 (156),0.087,0.695,V,K,0.182,0.0
BrHfI,836a1091409d,P3m1 (156),0.087,0.695,C,K,0.193,0.856
CrSSe,09e1e5ef94cb,P3m1 (156),0.01,0.802,V,K,0.082,0.0
CrSSe,09e1e5ef94cb,P3m1 (156),0.01,0.802,C,K,0.01,0.0
ZrTe2,f7ad606317e6,P-6m2 (187),0.11,0.275,V,K,0.01,0.802
ZrTe2,f7ad606317e6,P-6m2 (187),0.11,0.275,C,K,0.163,0.741
Ir2Cl6,be7870547213,P321 (150),0.555,0.263,C,K,0.003,0.0
SrBr2,2876a0cb2478,P-6m2 (187),0.14,4.324,V,K,0.008,0.067
SrBr2,2876a0cb2478,P-6m2 (187),0.14,4.324,C,K,0.038,0.415
CrSe2,9a6ff6a3c41a,P-6m2 (187),0.0,0.703,V,K,0.09,0.0
CrSe2,9a6ff6a3c41a,P-6m2 (187),0.0,0.703,C,K,0.015,0.0
SnCl2,514a8a12dca9,P-6m2 (187),0.117,2.76,V,K,0.065,0.0
SnCl2,514a8a12dca9,P-6m2 (187),0.117,2.76,C,K,0.187,0.039
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,V,K,0.009,0.0
OSn,026ebfd86b48,P3m1 (156),0.329,1.682,C,K,0.137,0.825
HfS2,2c5e65012601,P-6m2 (187),0.217,1.082,V,K,0.033,0.471
HfS2,2c5e65012601,P-6m2 (187),0.217,1.082,C,K,0.272,0.712
AsClS,0fd6ab210774,P3m1 (156),0.224,1.732,V,K,0.055,0.648
AsClS,0fd6ab210774,P3m1 (156),0.224,1.732,C,K,0.063,0.088
Ir2S2,dd6289af8e01,P-6m2 (187),0.305,0.135,V,K,0.241,0.183
Ir2S2,dd6289af8e01,P-6m2 (187),0.305,0.135,C,K,0.221,0.859
ZrCl2,dc09b7c396eb,P-6m2 (187),0.0,0.988,V,K,0.041,0.0
ZrCl2,dc09b7c396eb,P-6m2 (187),0.0,0.988,C,K,0.001,1.06
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,V,K,0.097,0.799
BiIS,40034665f9f1,P3m1 (156),0.14,0.848,C,K,0.553,0.435
GaP,d467820f3f04,P3m1 (156),0.447,1.555,V,K,0.007,0.0
GaP,d467820f3f04,P3m1 (156),0.447,1.555,C,K,0.005,0.563
Al2S2,f9df9f4a5c34,P-6m2 (187),0.005,2.099,V,K,0.012,0.654
Al2S2,f9df9f4a5c34,P-6m2 (187),0.005,2.099,C,K,0.01,0.069
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,V,K,0.024,2.114
HfSSe,63618e5bf062,P3m1 (156),0.0,0.705,C,K,0.002,1.466
BiISe,433f707c632c,P3m1 (156),0.114,0.84,V,K,0.118,0.642
BiISe,433f707c632c,P3m1 (156),0.114,0.84,C,K,0.495,0.459
AlAs,814ae25a188e,P-6m2 (187),0.522,1.241,V,K,0.002,0.0
AlAs,814ae25a188e,P-6m2 (187),0.522,1.241,C,K,0.002,1.092
ZrBr2,7897c7cc2491,P-6m2 (187),0.0,0.827,V,K,0.076,0.0
ZrBr2,7897c7cc2491,P-6m2 (187),0.0,0.827,C,K,0.012,0.948
AsBrSe,989f469f06bd,P3m1 (156),0.0,1.212,V,K,0.061,0.576
