n_features,features,features_str,model,loo_r2,loo_mae
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, old_ehull",LR,0.0473235909760128,0.706167024855498
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, old_ehull",SVR_RBF,0.317044401439291,0.5516642802595565
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",LR,0.38070293925852505,0.6035929098867205
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_VBM",SVR_RBF,0.30529096672827394,0.5789080706598337
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",LR,0.08119875270726251,0.6851089535046949
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_kpath_angle_deg, E_sfrac_CBM",SVR_RBF,0.40878445820941145,0.4945538846597777
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_VBM",LR,0.32448822280473955,0.6293244517546394
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_VBM",SVR_RBF,0.32890672537939625,0.5871408538831424
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_CBM",LR,0.03137130913767239,0.6867294900792607
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'old_ehull', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, old_ehull, E_sfrac_CBM",SVR_RBF,0.2701786458508041,0.5599640151514147
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, E_sfrac_VBM, E_sfrac_CBM",LR,0.33061765840882873,0.6269943543744874
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'old_max_Z4', 'E_sfrac_VBM', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, old_max_Z4, E_sfrac_VBM, E_sfrac_CBM",SVR_RBF,0.37389430450853667,0.5142751077475926
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",LR,0.11307073708390636,0.6642505925671173
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'old_ehull']","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, old_ehull",SVR_RBF,0.311986915774944,0.5229691881865619
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",LR,0.39684099794993444,0.5977217786224175
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_VBM']","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_VBM",SVR_RBF,0.31976250843459786,0.5676578517842633
5,"['old_E_pfrac_VBM', 'old_radius_mean', 'pmid_afs_gauss_std', 'old_kpath_angle_deg', 'E_sfrac_CBM']","old_E_pfrac_VBM, old_radius_mean, pmid_afs_gauss_std, old_kpath_angle_deg, E_sfrac_CBM",LR,0.1270651233768687,0.6554517912026849
