uid,Formula,E_sfrac_VBM,E_pfrac_VBM,E_dfrac_VBM,E_sfrac_CBM,E_pfrac_CBM,E_dfrac_CBM
c96ef4fc869c,BiClS,0.10683292748696664,0.8773635784209581,0.015803494092075373,0.08008235804074554,0.9143548620141598,0.005562779945094639
cce78d90e899,Hf2Ti2Se8,0.009906135196290147,0.7203517133983189,0.269742151405391,0.009947372184038818,0.13752242044433666,0.8525302073716245
cf7927ab6730,Bi2P2Te6,0.09660196619824077,0.8836398935853584,0.019758140216400856,0.11388169871430197,0.8506549379906702,0.035463363295027875
d59c96fdfda1,SeSn,0.11849507499815606,0.8612752033365295,0.020229721665314445,0.16821192052980136,0.7605243394551785,0.07126374001502013
da5fd2bb47af,ClSbTe,0.12487269138291282,0.8606010016694491,0.014526306947638094,0.09909088358259212,0.868332444793625,0.032576671623782937
dc4259e69783,WCr3S8,0.013325833444478592,0.26451895364952704,0.7221552129059943,0.014264141239704632,0.15314413639927496,0.8325917223610204
de5756e4fbfa,BiBrSe,0.0737177966503772,0.9079684015751768,0.018313801774446078,0.06473913513124256,0.9128290065891332,0.022431858279624094
df0019ec24b5,ISbSe,0.11458987699906494,0.8721653439470592,0.013244779053875845,0.08565353852384328,0.8769194424757858,0.03742701900037124
e688959ea45b,SnTe,0.08911155389880923,0.890581651428626,0.020306794672564854,0.15983678306422291,0.7711326878274103,0.06903052910836688
eadd37f03ca5,GeTe,0.07281411567434357,0.9050698034831876,0.02211608084246897,0.16003479388037048,0.7586600944892635,0.0813051116303662
eef072f845ce,CrW3Te8,0.014254764754873214,0.28095785163583,0.7047873836092969,0.029271752201726283,0.13808553585024705,0.8326427119480265
f1e78a09001d,BrSbTe,0.08365353976495288,0.9045659875166353,0.011780472718412026,0.041637734504138574,0.912589024008062,0.045773241487799335
f4f45fcade85,BiBrTe,0.049857730213837825,0.9353288864307276,0.014813383355434574,0.029238038984051976,0.9374919746269806,0.03326998638896735
f705a30af945,ClSbSe,0.12046291689907987,0.8704968366675209,0.009040246433399164,0.04891798651403482,0.910969107730908,0.04011290575505724
fba4cc0df459,AsClTe,0.06065680148476885,0.9264876049933974,0.012855593521833636,0.04197457055662535,0.9115461351834216,0.04647929425995314
