features,feat_list,indices,n_feat,cv5_r2
E_pfrac_VBM + band_binary + mid_nearest_Z4,"E_pfrac_VBM,band_binary,mid_nearest_Z4","(1, 5, 45)",3,0.06715361718914921
E_pfrac_VBM + band_binary + mid_nearest_mass,"E_pfrac_VBM,band_binary,mid_nearest_mass","(1, 5, 47)",3,0.06715361718914921
mean_Z + n_elements + start_adf_mean,"mean_Z,n_elements,start_adf_mean","(38, 49, 53)",3,0.06715183559868028
E_pfrac_relevant + mid_adf_mean + mid_nearest_dist,"E_pfrac_relevant,mid_adf_mean,mid_nearest_dist","(2, 40, 46)",3,0.06712988675031513
end_nearest_dist + kend_frac_x + start_adf_max,"end_nearest_dist,kend_frac_x,start_adf_max","(15, 18, 52)",3,0.06711221334835267
end_adf_n_triplets + kend_frac_x + start_adf_max,"end_adf_n_triplets,kend_frac_x,start_adf_max","(11, 18, 52)",3,0.06710715589431256
end_adf_max + end_adf_min + kpath_real_distance,"end_adf_max,end_adf_min,kpath_real_distance","(8, 10, 26)",3,0.06709751174663203
E_pfrac_VBM + X_mean + kend_frac_z,"E_pfrac_VBM,X_mean,kend_frac_z","(1, 4, 20)",3,0.0670652183842394
X_mean + kend_frac_x + start_adf_mean,"X_mean,kend_frac_x,start_adf_mean","(4, 18, 53)",3,0.06706380070340585
E_pfrac_CBM + bandgap + mid_adf_max,"E_pfrac_CBM,bandgap,mid_adf_max","(0, 6, 39)",3,0.06698676431648953
E_pfrac_VBM + kpath_total_weight + mid_adf_std,"E_pfrac_VBM,kpath_total_weight,mid_adf_std","(1, 27, 43)",3,0.066964892983537
E_pfrac_relevant + kend_frac_z + radius_mean,"E_pfrac_relevant,kend_frac_z,radius_mean","(2, 20, 51)",3,0.06692479293937495
E_pfrac_VBM + kpath_angle_deg + mid_adf_min,"E_pfrac_VBM,kpath_angle_deg,mid_adf_min","(1, 24, 41)",3,0.06692462787503442
kvec_z + mid_adf_max + start_adf_std,"kvec_z,mid_adf_max,start_adf_std","(34, 39, 56)",3,0.06691152900096364
end_adf_max + mid_adf_mean + mid_nearest_Z4,"end_adf_max,mid_adf_mean,mid_nearest_Z4","(8, 40, 45)",3,0.06691034659402147
end_adf_max + mid_adf_mean + mid_nearest_mass,"end_adf_max,mid_adf_mean,mid_nearest_mass","(8, 40, 47)",3,0.06691034659402147
end_adf_max + mid_adf_mean + mid_nearest_Z,"end_adf_max,mid_adf_mean,mid_nearest_Z","(8, 40, 44)",3,0.06691034659402147
kend_frac_x + kstart_frac_z + mid_adf_max,"kend_frac_x,kstart_frac_z,mid_adf_max","(18, 31, 39)",3,0.06689563132536777
end_adf_min + max_mass + start_adf_max,"end_adf_min,max_mass,start_adf_max","(10, 37, 52)",3,0.06686748864268963
