Formula,uid,kpath,mid_adf_max,E_pfrac_relevant,mid_nearest_Z,end_adf_n_triplets,start_adf_mean,start_adf_std,band_binary,Rashba_parameter
ZrTi3Se8,52a5e2b280d4,S->Y,162.56648367025258,0.7405566209593908,22,66,93.24867170700828,36.891584367189104,0,1.091
ZrTi3Se8,52a5e2b280d4,S->G,162.85896726150924,0.7405566209593908,22,66,93.24867170700828,36.891584367189104,0,0.48
BiBrSe,11db0908d9ef,M->G,120.60117926480687,0.9316661883508596,83,3,98.42572729759507,12.145725930519356,1,0.393
P2Sb2Te6,82b85dfd7723,Y->G,150.54385248216263,0.8244461820584097,52,45,87.01903550646455,37.09368397551968,0,2.466
P2Sb2Te6,82b85dfd7723,X->G,64.35422822371748,0.8244461820584097,52,45,54.86673043022185,25.420125142498037,0,2.596
P2Sb2Te6,82b85dfd7723,Y->G,150.54385248216263,0.8318788232153959,52,45,87.01903550646455,37.09368397551968,1,1.057
P2Sb2Te6,82b85dfd7723,X->G,64.35422822371748,0.8318788232153959,52,45,54.86673043022185,25.420125142498037,1,0.92
WCr3S8,dc4259e69783,X->G,179.44896203314488,0.134076482189789,24,66,53.40756866193291,23.759935252069496,0,1.317
Cr2Mo2Te8,988b11badabb,X->G,178.02726312583698,0.2124826412893839,24,66,55.34126258322475,24.791977431684405,0,1.105
Cr2Mo2Te8,988b11badabb,Y->S,161.61091409957913,0.2124826412893839,42,66,67.99611524845703,31.69599755965937,0,0.842
Cr2Mo2Te8,988b11badabb,G->S,162.70422928902573,0.2124826412893839,42,66,45.03814789764208,19.82137128374477,0,0.735
ISbSe,343d2125478e,G->M,123.57989933198094,0.9133427007098202,51,3,87.3722136167331,32.782794059053174,1,1.17
ISbSe,343d2125478e,G->K,134.71053101269644,0.9133427007098202,51,3,87.3722136167331,32.782794059053174,1,0.954
Bi2P2Te6,cf7927ab6730,G->Y,130.9341979511993,0.8422307722599669,83,45,55.50326760165706,26.564896942492847,1,1.814
Bi2P2Te6,cf7927ab6730,Y->G,130.9341979511993,0.8422307722599669,83,45,38.46692048771971,16.80549951492094,1,1.725
Bi2P2Te6,cf7927ab6730,X->G,154.59073772021665,0.8422307722599669,83,45,73.44918051346902,32.064374136607945,1,1.692
Bi2P2Te6,cf7927ab6730,G->X,154.59073772021665,0.8422307722599669,83,45,55.50326760165706,26.564896942492847,1,1.809
HgTe,1a3bdd1b142a,G->M,65.44154130962487,0.8163718961430929,80,1,60.86259057738199,0.0,0,0.501
HgTe,1a3bdd1b142a,G->K,82.76955076141569,0.8163718961430929,52,1,60.86259057738199,0.0,0,0.618
BiBrTe,304bc6a92d82,M->K,120.56608600281902,0.8941369584845804,83,3,78.30976565090454,16.344671124674587,0,1.13
BiBrTe,304bc6a92d82,M->K,120.56608600281902,0.9109066585302884,83,3,78.30976565090454,16.344671124674587,1,1.08
MoW3S8,2f6f133abcc8,X->G,179.8685358609874,0.2120919784501239,42,66,69.08928475708142,36.623307348866085,0,2.241
MoW3S8,2f6f133abcc8,S->Y,173.69430213126972,0.2250064564826057,74,66,93.55643031331353,36.4373614433222,1,1.202
BiClSe,7fe9c5cb910c,M->K,126.90614920053476,0.9114345157094904,83,3,97.87980291586274,11.206303848839909,0,0.679
BiClSe,7fe9c5cb910c,M->G,118.24219173104736,0.93294310439798,83,3,97.87980291586274,11.206303848839909,1,0.746
WMo3Te8,323fb700d903,X->G,179.75617474481706,0.3014358700618786,42,66,58.17928695604007,26.031995495842157,0,1.501
WMo3Te8,323fb700d903,G->S,162.44908762490692,0.3014358700618786,42,66,44.65041690651257,20.389847592852924,0,1.292
