Formula,uid,kpath,pmid_grdf_trig_max,E_pfrac_relevant,E_pfrac_CBM,radius_mean,pmid_grdf_gauss_std,kstart_frac_x,pmid_afs_trig_mean,Rashba_parameter
Ti2Zr2Se8,846b50801a93,S->Y,-4.49528086270106,0.7638579163771706,0.1319633735503248,1.3666666666666665,0.8201424655261248,0.5,4.640355734439387,1.613
Ti2Zr2Se8,846b50801a93,Y->S,-4.49528086270106,0.7638579163771706,0.1319633735503248,1.3666666666666665,0.8201424655261248,0.0,4.640355734439387,1.767
Ti2Zr2Se8,846b50801a93,G->S,-5.192045567259738,0.7638579163771706,0.1319633735503248,1.3666666666666665,0.9499495324509288,0.0,5.271777782716736,0.552
GeTe,eadd37f03ca5,M->K,-0.9280087176869792,0.9154990873691008,0.7472070142516989,1.325,0.0,0.5,0.0,0.952
MoCr3Te8,899032b4ad0c,G->Y,-4.476850256412183,0.1895688272224866,0.1019344113918172,1.4166666666666667,0.7999827316479137,0.0,4.0604013230713,1.409
MoCr3Te8,899032b4ad0c,G->S,-5.524980791590286,0.1895688272224866,0.1019344113918172,1.4166666666666667,0.6165345684025132,0.0,6.584118683060632,0.713
BiIS,40034665f9f1,G->M,-1.7375633212545818,0.9381116900544376,0.9381116900544376,1.3333333333333333,0.2101623412487261,0.0,0.3895134592483216,1.224
BiIS,40034665f9f1,G->K,-1.7375633212545818,0.9381116900544376,0.9381116900544376,1.3333333333333333,0.2101623412487261,0.0,0.3895134592483216,1.254
BiISe,433f707c632c,G->M,-1.694702628771762,0.9338553284954838,0.9338553284954838,1.3833333333333335,0.1733378666187582,0.0,0.3636502103635151,1.228
BiISe,433f707c632c,G->K,-1.694702628771762,0.9338553284954838,0.9338553284954838,1.3833333333333335,0.1733378666187582,0.0,0.3636502103635151,1.255
BiITe,a84d988e38ac,M->G,-1.5876488921019578,0.9417767775687268,0.9417767775687268,1.4666666666666668,0.1221974304869961,0.5,0.3183761086343161,0.467
O2Pb2,20f098bd3f31,G->X,-1.406703889464668,0.8829775241595053,0.8990904811171163,1.2,0.1789392906054366,0.0,0.3137763279729016,1.132
O2Pb2,20f098bd3f31,G->Y,-0.703478113502395,0.8829775241595053,0.8990904811171163,1.2,0.0,0.0,0.0,0.95
O2Pb2,20f098bd3f31,G->S,-0.703478113502395,0.8829775241595053,0.8990904811171163,1.2,0.0,0.0,0.0,0.875
O2Pb2,20f098bd3f31,S->X,-0.703478113502395,0.8990904811171163,0.8990904811171163,1.2,0.0,0.5,0.0,1.405
O2Pb2,20f098bd3f31,S->Y,-0.703478113502395,0.8990904811171163,0.8990904811171163,1.2,0.0,0.5,0.0,1.726
O2Pb2,20f098bd3f31,Y->G,-0.703478113502395,0.8990904811171163,0.8990904811171163,1.2,0.0,0.0,0.0,1.914
O2Pb2,20f098bd3f31,S->G,-0.703478113502395,0.8990904811171163,0.8990904811171163,1.2,0.0,0.5,0.0,1.723
PbSe,a0dbdc6630fa,M->K,-0.9480257641880072,0.9241098190833938,0.7879851211433209,1.475,0.0,0.5,0.0,0.855
PbSe,a0dbdc6630fa,M->G,-0.9480257641880072,0.7879851211433209,0.7879851211433209,1.475,0.0,0.5,0.0,1.603
 ,aa9a981d89aa,G->Y,-6.039153019966498,0.8340700960545168,0.8638507706444664,1.25,0.7466643352366868,0.0,8.838779556181738,4.457
Bi2P2Se6,aa9a981d89aa,X->G,-6.039153019966498,0.8340700960545168,0.8638507706444664,1.25,0.7466643352366868,0.3330589218993955,8.838779556181738,2.074
Bi2P2Se6,aa9a981d89aa,G->X,-6.039153019966498,0.8340700960545168,0.8638507706444664,1.25,0.7466643352366868,0.0,8.838779556181738,4.384
Bi2P2Se6,aa9a981d89aa,G->Y,-6.039153019966498,0.8638507706444664,0.8638507706444664,1.25,0.7466643352366868,0.0,8.838779556181738,1.971
Bi2P2Se6,aa9a981d89aa,Y->G,-6.039153019966498,0.8638507706444664,0.8638507706444664,1.25,0.7466643352366868,0.5,8.838779556181738,1.66
Bi2P2Se6,aa9a981d89aa,X->G,-6.039153019966498,0.8638507706444664,0.8638507706444664,1.25,0.7466643352366868,0.3330589218993955,8.838779556181738,1.729
Bi2P2Se6,aa9a981d89aa,G->X,-6.039153019966498,0.8638507706444664,0.8638507706444664,1.25,0.7466643352366868,0.0,8.838779556181738,2.029
HfTi3Se8,c55716558616,S->Y,-5.518753232956513,0.7409042099373613,0.1172884570017979,1.3666666666666665,1.0140266315884252,0.5,5.876032637975886,1.191
Mo2W2Te8,c04fc052f2ca,X->G,-5.595967636034228,0.2958079752151466,0.1399480237647956,1.3999999999999997,0.7931919810881806,0.5,6.593071574646243,1.645
