Formula,uid,kpath,E_pfrac_relevant,mid_adf_n_triplets,start_adf_min,mid_nearest_Z,start_adf_mean,kpath_angle_deg,mid_nearest_Z4,n_elements,Rashba_parameter
MoCr3Te8,899032b4ad0c,G->Y,0.1895688272224866,66,0.4398216296268657,24,39.64225376909114,90.0,331776,3,1.409
MoCr3Te8,899032b4ad0c,G->S,0.1895688272224866,66,0.4398216296268657,42,39.64225376909114,40.89133946635069,3111696,3,0.713
BiIS,40034665f9f1,G->M,0.9381116900544376,3,53.38756973683615,83,87.13830552006617,30.00000001923997,47458321,3,1.224
BiIS,40034665f9f1,G->K,0.9381116900544376,3,53.38756973683615,83,87.13830552006617,60.00000001923997,47458321,3,1.254
BiISe,433f707c632c,G->M,0.9338553284954838,3,52.52587889560965,83,87.086917874645,29.99999994434254,47458321,3,1.228
BiISe,433f707c632c,G->K,0.9338553284954838,3,52.52587889560965,83,87.086917874645,59.9999999840954,47458321,3,1.255
BiITe,a84d988e38ac,M->G,0.9417767775687268,3,86.86455905338332,83,99.05699330669302,-149.9999999925854,47458321,3,0.467
O2Pb2,20f098bd3f31,G->X,0.8829775241595053,6,7.291847540661394,8,31.12585227179804,-3.8629945371532906e-14,4096,2,1.132
O2Pb2,20f098bd3f31,G->Y,0.8829775241595053,6,7.291847540661394,8,31.12585227179804,90.00000000000001,4096,2,0.95
O2Pb2,20f098bd3f31,G->S,0.8829775241595053,6,7.291847540661394,8,31.12585227179804,29.21825838475216,4096,2,0.875
O2Pb2,20f098bd3f31,S->X,0.8990904811171163,6,57.09079132520703,82,106.0253687826853,-90.0,45212176,2,1.405
O2Pb2,20f098bd3f31,S->Y,0.8990904811171163,6,57.09079132520703,8,106.0253687826853,179.99999999999997,4096,2,1.726
O2Pb2,20f098bd3f31,Y->G,0.8990904811171163,6,62.74518393359421,8,98.85639213251213,-90.0,4096,2,1.914
O2Pb2,20f098bd3f31,S->G,0.8990904811171163,6,57.09079132520703,8,106.0253687826853,-150.78174161524785,4096,2,1.723
PbSe,a0dbdc6630fa,M->K,0.9241098190833938,1,61.28804733698518,82,61.28804733698518,120.0000000273454,45212176,2,0.855
PbSe,a0dbdc6630fa,M->G,0.7879851211433209,1,61.28804733698518,82,61.28804733698518,-150.0000000273454,45212176,2,1.603
 ,aa9a981d89aa,G->Y,0.8340700960545168,45,10.473529251125546,34,55.35100376815375,59.95906716716718,1336336,3,4.457
Bi2P2Se6,aa9a981d89aa,X->G,0.8340700960545168,45,10.43119586158244,34,54.82051554807135,150.0408990479409,1336336,3,2.074
Bi2P2Se6,aa9a981d89aa,G->X,0.8340700960545168,45,10.473529251125546,34,55.35100376815375,-29.9591009520591,1336336,3,4.384
Bi2P2Se6,aa9a981d89aa,G->Y,0.8638507706444664,45,10.473529251125546,34,55.35100376815375,59.95906716716718,1336336,3,1.971
Bi2P2Se6,aa9a981d89aa,Y->G,0.8638507706444664,45,13.727504154146295,34,86.56184767707043,-120.04093283283284,1336336,3,1.66
Bi2P2Se6,aa9a981d89aa,X->G,0.8638507706444664,45,10.43119586158244,34,54.82051554807135,150.0408990479409,1336336,3,1.729
Bi2P2Se6,aa9a981d89aa,G->X,0.8638507706444664,45,10.473529251125546,34,55.35100376815375,-29.9591009520591,1336336,3,2.029
HfTi3Se8,c55716558616,S->Y,0.7409042099373613,66,28.269062094814668,22,93.28768790365416,180.0,234256,3,1.191
Mo2W2Te8,c04fc052f2ca,X->G,0.2958079752151466,66,21.26983901832304,42,62.71638376968713,180.0,3111696,3,1.645
Mo2W2Te8,c04fc052f2ca,G->S,0.2958079752151466,66,14.562862280788156,74,45.10860266961678,49.110534665153686,29986576,3,1.315
Mo2W2Te8,c04fc052f2ca,G->S,0.1399480237647956,66,14.562862280788156,74,45.10860266961678,49.110534665153686,29986576,3,1.35
BiISe,70cbc0e44d36,M->K,0.9060614974704904,3,59.41075173832907,83,78.85272828108593,119.99999999074366,47458321,3,1.267
BiISe,70cbc0e44d36,G->M,0.9184150831842453,3,55.23968421653336,83,91.62393846236364,30.00000000925636,47458321,3,2.045
BiISe,70cbc0e44d36,M->K,0.9184150831842453,3,59.41075173832907,83,78.85272828108593,119.99999999074366,47458321,3,1.142
BiISe,70cbc0e44d36,G->K,0.9184150831842453,3,55.23968421653336,83,91.62393846236364,60.00000000925636,47458321,3,2.089
Pb2Te6,3995fa1bee6e,X->G,0.8986972744902609,28,23.117387471435777,82,99.2665631990144,-89.99999999999618,45212176,2,3.064
Pb2Te6,3995fa1bee6e,G->S,0.8986972744902609,28,10.853941953293967,82,74.8494248864155,53.08160918832655,45212176,2,0.511
Pb2Te6,3995fa1bee6e,X->G,0.8492620158711233,28,23.117387471435777,82,99.2665631990144,-89.99999999999618,45212176,2,1.451
Pb2Te6,3995fa1bee6e,X->S,0.8492620158711233,28,23.117387471435777,52,99.2665631990144,1.8552812907871598e-10,7311616,2,0.796
Pb2Te6,3995fa1bee6e,S->G,0.8492620158711233,28,11.446335135375785,82,58.941762759683726,-126.91839081167343,45212176,2,1.059
Cr2W2S8,5974b6403c31,X->G,0.1681267075821846,66,10.397213396944746,24,57.924094461847126,180.0,331776,3,1.592
Cr2W2S8,5974b6403c31,Y->S,0.1681267075821846,66,0.0982199913614588,74,67.81237234533114,0.0,29986576,3,1.151
HfZr3Se8,70e7ab872359,G->S,0.8422121530840236,66,15.479460758415769,40,51.34833192384224,49.07480172352388,2560000,3,0.95
GeSe,211bcb7f05d6,M->K,0.9034063151276184,1,62.42500872290852,32,62.42500872290852,120.00000000156714,1048576,2,0.94
Hf2Zr2Se8,81af2831dbb2,G->S,0.8295197197316269,66,15.55153541132845,72,51.23813851829724,49.06672007808193,26873856,3,0.698
MoW3Te8,5c3fe56a1a89,X->G,0.2850819868146655,66,21.28137827142039,42,65.30572898240644,180.0,3111696,3,2.045
MoW3Te8,5c3fe56a1a89,G->S,0.2850819868146655,66,13.693050969207947,74,43.097683655528094,49.11115211345227,29986576,3,1.298
Mo2W2S8,449640ec4d30,X->G,0.2072633880549644,66,20.75863335564988,42,65.25327936111827,180.0,3111696,3,1.954
Mo2W2S8,449640ec4d30,S->Y,0.2146805678678273,66,29.87831494620618,74,93.55889614419232,180.0,29986576,3,1.167
