features,feat_list,indices,n_feat,cv5_r2
end_adf_max + mid_nearest_Z,"end_adf_max,mid_nearest_Z","(8, 44)",2,0.033815243295111895
end_adf_mean + kend_degeneracy,"end_adf_mean,kend_degeneracy","(9, 17)",2,0.033542879016804125
kmid_frac_y + start_adf_mean,"kmid_frac_y,start_adf_mean","(22, 53)",2,0.03342854732983769
mid_adf_max + mid_adf_mean,"mid_adf_max,mid_adf_mean","(39, 40)",2,0.03307350209624334
min_mass + start_adf_mean,"min_mass,start_adf_mean","(48, 53)",2,0.03274328390946479
band_binary + end_adf_max,"band_binary,end_adf_max","(5, 8)",2,0.03263877849586616
E_pfrac_CBM + mid_adf_max,"E_pfrac_CBM,mid_adf_max","(0, 39)",2,0.0325559716234044
end_adf_mean + mid_adf_max,"end_adf_mean,mid_adf_max","(9, 39)",2,0.031855415297661914
kstart_frac_y + start_adf_max,"kstart_frac_y,start_adf_max","(30, 52)",2,0.02971723960881232
kpath_total_weight + start_adf_max,"kpath_total_weight,start_adf_max","(27, 52)",2,0.02798349828222
end_nearest_dist + start_adf_max,"end_nearest_dist,start_adf_max","(15, 52)",2,0.027489433495121028
kstart_frac_z + start_adf_mean,"kstart_frac_z,start_adf_mean","(31, 53)",2,0.0271871347241875
kend_frac_y + mid_adf_max,"kend_frac_y,mid_adf_max","(19, 39)",2,0.026186274940343958
kend_degeneracy + start_adf_max,"kend_degeneracy,start_adf_max","(17, 52)",2,0.025464949574605968
end_adf_mean + start_adf_mean,"end_adf_mean,start_adf_mean","(9, 53)",2,0.024875334047385976
E_pfrac_CBM + start_adf_mean,"E_pfrac_CBM,start_adf_mean","(0, 53)",2,0.02452023335219684
kstart_degeneracy + start_adf_mean,"kstart_degeneracy,start_adf_mean","(28, 53)",2,0.023925185002168135
n_elements + start_adf_max,"n_elements,start_adf_max","(49, 52)",2,0.02276511441604865
band_binary + end_adf_mean,"band_binary,end_adf_mean","(5, 9)",2,0.0212535006052184
kend_frac_z + start_adf_mean,"kend_frac_z,start_adf_mean","(20, 53)",2,0.020586366617400275
kstart_frac_y + mid_adf_max,"kstart_frac_y,mid_adf_max","(30, 39)",2,0.02051832796966204
kmid_frac_z + start_adf_mean,"kmid_frac_z,start_adf_mean","(23, 53)",2,0.020016874472551738
kmid_frac_y + mid_adf_max,"kmid_frac_y,mid_adf_max","(22, 39)",2,0.019717129837298897
kpath_interior_degeneracy + mid_adf_max,"kpath_interior_degeneracy,mid_adf_max","(25, 39)",2,0.01949210385570006
max_mass + start_adf_max,"max_mass,start_adf_max","(37, 52)",2,0.01942743513256604
kstart_degeneracy + start_adf_max,"kstart_degeneracy,start_adf_max","(28, 52)",2,0.018729817910340518
kstart_frac_x + start_adf_mean,"kstart_frac_x,start_adf_mean","(29, 53)",2,0.018686393452812623
kstart_frac_z + mid_adf_max,"kstart_frac_z,mid_adf_max","(31, 39)",2,0.018570732752924958
kvec_z + start_adf_mean,"kvec_z,start_adf_mean","(34, 53)",2,0.018357233462963606
max_Z + start_adf_max,"max_Z,start_adf_max","(35, 52)",2,0.01807442903131804
max_Z4 + start_adf_max,"max_Z4,start_adf_max","(36, 52)",2,0.01807442903131804
max_Z4 + start_adf_mean,"max_Z4,start_adf_mean","(36, 53)",2,0.01802159459933541
max_Z + start_adf_mean,"max_Z,start_adf_mean","(35, 53)",2,0.01802159459933541
mid_adf_min + start_adf_max,"mid_adf_min,start_adf_max","(41, 52)",2,0.0168451609535476
kpath_angle_deg + kvec_z,"kpath_angle_deg,kvec_z","(24, 34)",2,0.01642513423106253
mid_adf_std + start_adf_mean,"mid_adf_std,start_adf_mean","(43, 53)",2,0.01639026495635132
mid_adf_min + start_adf_mean,"mid_adf_min,start_adf_mean","(41, 53)",2,0.016228412956726924
end_adf_max + kmid_frac_x,"end_adf_max,kmid_frac_x","(8, 21)",2,0.016188760980646012
end_adf_min + start_adf_max,"end_adf_min,start_adf_max","(10, 52)",2,0.015723250769262464
kmid_frac_z + mid_adf_max,"kmid_frac_z,mid_adf_max","(23, 39)",2,0.015139829377669067
end_adf_std + start_adf_mean,"end_adf_std,start_adf_mean","(12, 53)",2,0.014897304526007016
kend_frac_z + mid_adf_max,"kend_frac_z,mid_adf_max","(20, 39)",2,0.014814784526976533
end_adf_mean + kpath_angle_deg,"end_adf_mean,kpath_angle_deg","(9, 24)",2,0.014159710674258474
mean_Z + mid_adf_max,"mean_Z,mid_adf_max","(38, 39)",2,0.013484052641687106
end_adf_max + kstart_frac_z,"end_adf_max,kstart_frac_z","(8, 31)",2,0.011904750963179977
kvec_x + mid_adf_max,"kvec_x,mid_adf_max","(32, 39)",2,0.011574442652815842
kstart_degeneracy + mid_adf_max,"kstart_degeneracy,mid_adf_max","(28, 39)",2,0.011400660018061304
kpath_total_weight + mid_adf_max,"kpath_total_weight,mid_adf_max","(27, 39)",2,0.011198978141913573
end_adf_max + end_nearest_mass,"end_adf_max,end_nearest_mass","(8, 16)",2,0.011085665133180012
end_adf_max + end_nearest_Z,"end_adf_max,end_nearest_Z","(8, 13)",2,0.011085665133180012
end_adf_max + end_nearest_Z4,"end_adf_max,end_nearest_Z4","(8, 14)",2,0.011085665133180012
end_adf_max + kstart_frac_x,"end_adf_max,kstart_frac_x","(8, 29)",2,0.010704323318873254
end_adf_max + kend_frac_z,"end_adf_max,kend_frac_z","(8, 20)",2,0.010442827723077164
kstart_frac_x + mid_adf_max,"kstart_frac_x,mid_adf_max","(29, 39)",2,0.010330598586549944
kpath_interior_degeneracy + start_adf_max,"kpath_interior_degeneracy,start_adf_max","(25, 52)",2,0.009321953722635935
n_elements + start_adf_mean,"n_elements,start_adf_mean","(49, 53)",2,0.009232988444711853
E_pfrac_relevant + end_nearest_Z,"E_pfrac_relevant,end_nearest_Z","(2, 13)",2,0.009112504080092676
E_pfrac_relevant + end_nearest_mass,"E_pfrac_relevant,end_nearest_mass","(2, 16)",2,0.009112504080092676
E_pfrac_relevant + end_nearest_Z4,"E_pfrac_relevant,end_nearest_Z4","(2, 14)",2,0.009112504080092676
end_adf_mean + sum_Z4,"end_adf_mean,sum_Z4","(9, 61)",2,0.009003220256141198
mid_adf_max + start_adf_std,"mid_adf_max,start_adf_std","(39, 56)",2,0.008290671617782186
end_adf_max + kend_frac_y,"end_adf_max,kend_frac_y","(8, 19)",2,0.007578840655001517
end_adf_max + n_elements,"end_adf_max,n_elements","(8, 49)",2,0.006383928408039896
end_adf_max + kend_frac_x,"end_adf_max,kend_frac_x","(8, 18)",2,0.005952360216594954
end_adf_std + start_adf_max,"end_adf_std,start_adf_max","(12, 52)",2,0.0055530386771580394
max_mass + start_adf_mean,"max_mass,start_adf_mean","(37, 53)",2,0.005551156572201598
E_pfrac_CBM + end_adf_max,"E_pfrac_CBM,end_adf_max","(0, 8)",2,0.003479758065632321
end_adf_max + kmid_frac_z,"end_adf_max,kmid_frac_z","(8, 23)",2,0.0033630466459307453
mid_adf_max + n_elements,"mid_adf_max,n_elements","(39, 49)",2,0.0027038179709770295
E_pfrac_relevant + kend_frac_x,"E_pfrac_relevant,kend_frac_x","(2, 18)",2,0.0025118955696435074
mid_adf_max + mid_adf_std,"mid_adf_max,mid_adf_std","(39, 43)",2,0.002288107822093588
end_adf_max + kstart_degeneracy,"end_adf_max,kstart_degeneracy","(8, 28)",2,0.0015407861798875766
end_adf_max + kvec_z,"end_adf_max,kvec_z","(8, 34)",2,0.0008062957761527434
end_adf_max + kstart_frac_y,"end_adf_max,kstart_frac_y","(8, 30)",2,0.0007551329545543606
mid_adf_max + mid_nearest_Z,"mid_adf_max,mid_nearest_Z","(39, 44)",2,-0.002729880562061049
mid_adf_max + mid_nearest_mass,"mid_adf_max,mid_nearest_mass","(39, 47)",2,-0.002729880562061049
mid_adf_max + mid_nearest_Z4,"mid_adf_max,mid_nearest_Z4","(39, 45)",2,-0.002729880562061049
E_pfrac_relevant + kstart_frac_y,"E_pfrac_relevant,kstart_frac_y","(2, 30)",2,-0.002797633010544698
kend_degeneracy + kend_frac_x,"kend_degeneracy,kend_frac_x","(17, 18)",2,-0.003085539320103514
E_pfrac_relevant + kstart_degeneracy,"E_pfrac_relevant,kstart_degeneracy","(2, 28)",2,-0.003224983777483592
